epoch: 0	train ppl: 806579.8331829238	val ppl: 123545.01018986962	best val: 123545.01018986962	time (s) spent in epoch: 83.46622586250305
epoch: 1	train ppl: 5303.116876639757	val ppl: 5580.636010044473	best val: 5580.636010044473	time (s) spent in epoch: 87.88924264907837
epoch: 2	train ppl: 1093.1787116654464	val ppl: 913.769821372332	best val: 913.769821372332	time (s) spent in epoch: 87.83253216743469
epoch: 3	train ppl: 885.9975315419566	val ppl: 717.7973684706997	best val: 717.7973684706997	time (s) spent in epoch: 87.67875170707703
epoch: 4	train ppl: 725.4403437409217	val ppl: 468.3615700394251	best val: 468.3615700394251	time (s) spent in epoch: 88.11122179031372
epoch: 5	train ppl: 585.5740724359142	val ppl: 529.8771279726701	best val: 468.3615700394251	time (s) spent in epoch: 88.18404984474182
epoch: 6	train ppl: 495.3578226024333	val ppl: 433.9723882530106	best val: 433.9723882530106	time (s) spent in epoch: 88.656090259552
epoch: 7	train ppl: 423.27337164572157	val ppl: 376.6283929588618	best val: 376.6283929588618	time (s) spent in epoch: 88.39898872375488
epoch: 8	train ppl: 360.528137747795	val ppl: 328.7007742663083	best val: 328.7007742663083	time (s) spent in epoch: 89.21339511871338
epoch: 9	train ppl: 311.8754811266414	val ppl: 300.21739856067126	best val: 300.21739856067126	time (s) spent in epoch: 89.35934805870056
epoch: 10	train ppl: 276.9222312735412	val ppl: 258.4947935278775	best val: 258.4947935278775	time (s) spent in epoch: 89.0269227027893
epoch: 11	train ppl: 236.1466854532022	val ppl: 235.30828182832846	best val: 235.30828182832846	time (s) spent in epoch: 97.42146444320679
epoch: 12	train ppl: 209.45440665771258	val ppl: 221.4052034169212	best val: 221.4052034169212	time (s) spent in epoch: 89.78499269485474
epoch: 13	train ppl: 186.5670652914859	val ppl: 217.04162681412333	best val: 217.04162681412333	time (s) spent in epoch: 93.59886002540588
epoch: 14	train ppl: 167.05332155922528	val ppl: 238.70670939222592	best val: 217.04162681412333	time (s) spent in epoch: 90.95942568778992
epoch: 15	train ppl: 124.57747499272352	val ppl: 189.31762198251297	best val: 189.31762198251297	time (s) spent in epoch: 90.23433923721313
epoch: 16	train ppl: 94.86746089890339	val ppl: 150.9894335237076	best val: 150.9894335237076	time (s) spent in epoch: 90.75308990478516
epoch: 17	train ppl: 74.79271315235785	val ppl: 150.67116755494825	best val: 150.67116755494825	time (s) spent in epoch: 90.49462962150574
epoch: 18	train ppl: 62.06989210234709	val ppl: 153.79811120699958	best val: 150.67116755494825	time (s) spent in epoch: 87.04930067062378
epoch: 19	train ppl: 54.87289630940488	val ppl: 157.28745744792968	best val: 150.67116755494825	time (s) spent in epoch: 86.97568869590759
epoch: 20	train ppl: 51.13137382297336	val ppl: 158.3996206437561	best val: 150.67116755494825	time (s) spent in epoch: 87.01328992843628
epoch: 21	train ppl: 49.31468303822913	val ppl: 157.73028731631953	best val: 150.67116755494825	time (s) spent in epoch: 87.17468690872192
epoch: 22	train ppl: 48.61549459117896	val ppl: 156.71651423530284	best val: 150.67116755494825	time (s) spent in epoch: 87.16169929504395
epoch: 23	train ppl: 48.4057677070434	val ppl: 156.24542218919046	best val: 150.67116755494825	time (s) spent in epoch: 87.09688067436218
epoch: 24	train ppl: 48.27532906636509	val ppl: 156.14992842516406	best val: 150.67116755494825	time (s) spent in epoch: 87.18908882141113
epoch: 25	train ppl: 48.28564822983422	val ppl: 156.1275553726336	best val: 150.67116755494825	time (s) spent in epoch: 88.01347136497498
epoch: 26	train ppl: 48.31900629567468	val ppl: 156.12366089055746	best val: 150.67116755494825	time (s) spent in epoch: 87.2954969406128
epoch: 27	train ppl: 48.25164589610938	val ppl: 156.12305602153154	best val: 150.67116755494825	time (s) spent in epoch: 87.20274925231934
epoch: 28	train ppl: 48.27279176462375	val ppl: 156.12300018758575	best val: 150.67116755494825	time (s) spent in epoch: 87.48647332191467
epoch: 29	train ppl: 48.21844446384987	val ppl: 156.12300484041378	best val: 150.67116755494825	time (s) spent in epoch: 87.72252750396729
epoch: 30	train ppl: 48.257207693323316	val ppl: 156.12298622910242	best val: 150.67116755494825	time (s) spent in epoch: 87.12173581123352
epoch: 31	train ppl: 48.25970632281662	val ppl: 156.12299088193006	best val: 150.67116755494825	time (s) spent in epoch: 88.51332426071167
epoch: 32	train ppl: 48.306279376323474	val ppl: 156.12299088193006	best val: 150.67116755494825	time (s) spent in epoch: 87.54099822044373
epoch: 33	train ppl: 48.28073065937302	val ppl: 156.12299088193006	best val: 150.67116755494825	time (s) spent in epoch: 87.58313989639282
epoch: 34	train ppl: 48.25682390311125	val ppl: 156.12299088193006	best val: 150.67116755494825	time (s) spent in epoch: 87.62731838226318
epoch: 35	train ppl: 48.3077438524857	val ppl: 156.12299088193006	best val: 150.67116755494825	time (s) spent in epoch: 87.89423537254333
epoch: 36	train ppl: 48.289604972302136	val ppl: 156.12299088193006	best val: 150.67116755494825	time (s) spent in epoch: 87.49667263031006
epoch: 37	train ppl: 48.27526117565497	val ppl: 156.12299088193006	best val: 150.67116755494825	time (s) spent in epoch: 88.01697945594788
epoch: 38	train ppl: 48.214267257639	val ppl: 156.12299088193006	best val: 150.67116755494825	time (s) spent in epoch: 87.47820615768433
epoch: 39	train ppl: 48.26443880469306	val ppl: 156.12299088193006	best val: 150.67116755494825	time (s) spent in epoch: 87.42983269691467
