epoch: 0	train ppl: 538.6075554593003	val ppl: 312.38469915603264	best val: 312.38469915603264	time (s) spent in epoch: 692.2465844154358
epoch: 1	train ppl: 306.3017222451062	val ppl: 225.2676432238939	best val: 225.2676432238939	time (s) spent in epoch: 693.1644258499146
epoch: 2	train ppl: 249.8179845092857	val ppl: 199.27705092010368	best val: 199.27705092010368	time (s) spent in epoch: 692.5849666595459
epoch: 3	train ppl: 217.94708027977546	val ppl: 186.68474839024046	best val: 186.68474839024046	time (s) spent in epoch: 692.3862586021423
epoch: 4	train ppl: 196.27678312549259	val ppl: 160.13003787460028	best val: 160.13003787460028	time (s) spent in epoch: 691.1740961074829
epoch: 5	train ppl: 179.17535255693906	val ppl: 161.83302664679294	best val: 160.13003787460028	time (s) spent in epoch: 689.3480067253113
epoch: 6	train ppl: 165.76891802228963	val ppl: 144.8395880970795	best val: 144.8395880970795	time (s) spent in epoch: 691.7249336242676
epoch: 7	train ppl: 155.07295752315085	val ppl: 140.2924807449575	best val: 140.2924807449575	time (s) spent in epoch: 691.4077627658844
epoch: 8	train ppl: 145.91466932185813	val ppl: 140.47603265298116	best val: 140.2924807449575	time (s) spent in epoch: 689.4160492420197
epoch: 9	train ppl: 138.0937453093573	val ppl: 133.93348606175238	best val: 133.93348606175238	time (s) spent in epoch: 690.7900812625885
epoch: 10	train ppl: 132.33317535926318	val ppl: 130.51385663925373	best val: 130.51385663925373	time (s) spent in epoch: 691.6536238193512
epoch: 11	train ppl: 126.18469036141967	val ppl: 128.00300467152297	best val: 128.00300467152297	time (s) spent in epoch: 691.925181388855
epoch: 12	train ppl: 121.16475769898493	val ppl: 124.90674267362968	best val: 124.90674267362968	time (s) spent in epoch: 691.5280866622925
epoch: 13	train ppl: 116.3974177998461	val ppl: 125.44416798691456	best val: 124.90674267362968	time (s) spent in epoch: 689.3689007759094
epoch: 14	train ppl: 112.35304065502844	val ppl: 119.24598720431412	best val: 119.24598720431412	time (s) spent in epoch: 692.0436894893646
epoch: 15	train ppl: 108.62241576036998	val ppl: 120.4848402487414	best val: 119.24598720431412	time (s) spent in epoch: 689.6408405303955
epoch: 16	train ppl: 105.35629691352452	val ppl: 120.23706948129667	best val: 119.24598720431412	time (s) spent in epoch: 689.7821345329285
epoch: 17	train ppl: 104.53048851423021	val ppl: 115.85024798351624	best val: 115.85024798351624	time (s) spent in epoch: 691.2295005321503
epoch: 18	train ppl: 100.55258116958981	val ppl: 117.86869490192096	best val: 115.85024798351624	time (s) spent in epoch: 689.0640034675598
epoch: 19	train ppl: 98.18132450356129	val ppl: 115.6360495142119	best val: 115.6360495142119	time (s) spent in epoch: 691.4796583652496
epoch: 20	train ppl: 95.30607472871232	val ppl: 114.1349932081212	best val: 114.1349932081212	time (s) spent in epoch: 691.0464723110199
epoch: 21	train ppl: 94.61420954790509	val ppl: 113.50846936822748	best val: 113.50846936822748	time (s) spent in epoch: 692.4195265769958
epoch: 22	train ppl: 90.43353758038437	val ppl: 112.83421824624698	best val: 112.83421824624698	time (s) spent in epoch: 690.6345639228821
epoch: 23	train ppl: 89.66117334996346	val ppl: 112.84998378710625	best val: 112.83421824624698	time (s) spent in epoch: 688.9840366840363
epoch: 24	train ppl: 86.96181896393861	val ppl: 110.8432151440998	best val: 110.8432151440998	time (s) spent in epoch: 690.6789491176605
epoch: 25	train ppl: 86.65722746984706	val ppl: 112.69269818126713	best val: 110.8432151440998	time (s) spent in epoch: 688.8919734954834
epoch: 26	train ppl: 83.74111458166993	val ppl: 113.3690263659466	best val: 110.8432151440998	time (s) spent in epoch: 689.3413815498352
epoch: 27	train ppl: 82.97550070652453	val ppl: 111.17464114424797	best val: 110.8432151440998	time (s) spent in epoch: 688.9706287384033
epoch: 28	train ppl: 139.85164240658435	val ppl: 110.87287029622762	best val: 110.8432151440998	time (s) spent in epoch: 689.0850033760071
epoch: 29	train ppl: 80.64525707835477	val ppl: 112.9873070129548	best val: 110.8432151440998	time (s) spent in epoch: 689.3309462070465
epoch: 30	train ppl: 79.23040003656034	val ppl: 112.39200511120204	best val: 110.8432151440998	time (s) spent in epoch: 691.201343536377
epoch: 31	train ppl: 78.24907735890125	val ppl: 111.81481430825129	best val: 110.8432151440998	time (s) spent in epoch: 690.4646229743958
epoch: 32	train ppl: 76.374963410111	val ppl: 112.58600688473793	best val: 110.8432151440998	time (s) spent in epoch: 690.1945292949677
epoch: 33	train ppl: 75.88022132939005	val ppl: 112.5381901828366	best val: 110.8432151440998	time (s) spent in epoch: 690.1212668418884
epoch: 34	train ppl: 75.3645154926284	val ppl: 111.09987214237843	best val: 110.8432151440998	time (s) spent in epoch: 691.7304487228394
epoch: 35	train ppl: 73.31439906976684	val ppl: 111.18772683988803	best val: 110.8432151440998	time (s) spent in epoch: 692.8855285644531
epoch: 36	train ppl: 73.02481575779787	val ppl: 112.3970745830589	best val: 110.8432151440998	time (s) spent in epoch: 692.8709142208099
epoch: 37	train ppl: 72.13850332594413	val ppl: 111.81219213562045	best val: 110.8432151440998	time (s) spent in epoch: 692.5500721931458
epoch: 38	train ppl: 70.90677343234898	val ppl: 112.58823867696496	best val: 110.8432151440998	time (s) spent in epoch: 692.3668463230133
epoch: 39	train ppl: 70.19759588914496	val ppl: 113.50990497998076	best val: 110.8432151440998	time (s) spent in epoch: 691.8410046100616
