epoch: 0	train ppl: 322.3562495578793	val ppl: 176.35983924358348	best val: 176.35983924358348	time (s) spent in epoch: 41.43204593658447
epoch: 1	train ppl: 125.05993205064165	val ppl: 138.2489380482943	best val: 138.2489380482943	time (s) spent in epoch: 41.01504182815552
epoch: 2	train ppl: 82.04162514428947	val ppl: 131.40149497172126	best val: 131.40149497172126	time (s) spent in epoch: 41.09711766242981
epoch: 3	train ppl: 59.886505284155376	val ppl: 136.65979578886578	best val: 131.40149497172126	time (s) spent in epoch: 40.92536377906799
epoch: 4	train ppl: 45.64442275203519	val ppl: 146.77912184003463	best val: 131.40149497172126	time (s) spent in epoch: 41.61003637313843
epoch: 5	train ppl: 35.67960564201181	val ppl: 163.51730428374495	best val: 131.40149497172126	time (s) spent in epoch: 40.753374099731445
epoch: 6	train ppl: 28.55020103626293	val ppl: 188.0017270054233	best val: 131.40149497172126	time (s) spent in epoch: 40.74541711807251
epoch: 7	train ppl: 23.18862760266775	val ppl: 217.36854357870644	best val: 131.40149497172126	time (s) spent in epoch: 40.91169285774231
epoch: 8	train ppl: 19.232286792255042	val ppl: 250.00238487467482	best val: 131.40149497172126	time (s) spent in epoch: 41.22198247909546
epoch: 9	train ppl: 16.224596490893994	val ppl: 290.49702586435717	best val: 131.40149497172126	time (s) spent in epoch: 41.36036562919617
epoch: 10	train ppl: 13.892820054449647	val ppl: 337.9087741092231	best val: 131.40149497172126	time (s) spent in epoch: 41.22435784339905
epoch: 11	train ppl: 12.072502535383807	val ppl: 390.06930122372995	best val: 131.40149497172126	time (s) spent in epoch: 40.99934482574463
epoch: 12	train ppl: 10.672077390394534	val ppl: 451.4818930509801	best val: 131.40149497172126	time (s) spent in epoch: 40.885220527648926
epoch: 13	train ppl: 9.56824956402896	val ppl: 523.5420155220326	best val: 131.40149497172126	time (s) spent in epoch: 41.5063738822937
epoch: 14	train ppl: 8.677069410349551	val ppl: 604.5452685571624	best val: 131.40149497172126	time (s) spent in epoch: 40.86433744430542
epoch: 15	train ppl: 7.934304544382605	val ppl: 694.3978131967758	best val: 131.40149497172126	time (s) spent in epoch: 40.86233735084534
epoch: 16	train ppl: 7.319720375440568	val ppl: 772.2814327853324	best val: 131.40149497172126	time (s) spent in epoch: 40.867337703704834
epoch: 17	train ppl: 6.795897211682406	val ppl: 864.1486195914241	best val: 131.40149497172126	time (s) spent in epoch: 40.758331298828125
epoch: 18	train ppl: 6.3642492528503185	val ppl: 968.0381226022236	best val: 131.40149497172126	time (s) spent in epoch: 40.80333375930786
epoch: 19	train ppl: 5.980053464429477	val ppl: 1079.8883893075827	best val: 131.40149497172126	time (s) spent in epoch: 40.82533502578735
epoch: 20	train ppl: 5.674893248601879	val ppl: 1191.5681423302472	best val: 131.40149497172126	time (s) spent in epoch: 40.75433087348938
epoch: 21	train ppl: 5.3712663795943945	val ppl: 1321.7458801478463	best val: 131.40149497172126	time (s) spent in epoch: 40.80233359336853
epoch: 22	train ppl: 5.127022458983994	val ppl: 1494.410382431396	best val: 131.40149497172126	time (s) spent in epoch: 40.74333071708679
epoch: 23	train ppl: 4.900694650121019	val ppl: 1610.3086406182363	best val: 131.40149497172126	time (s) spent in epoch: 40.722328901290894
epoch: 24	train ppl: 4.711551840301132	val ppl: 1746.2053908996338	best val: 131.40149497172126	time (s) spent in epoch: 40.73232960700989
epoch: 25	train ppl: 4.524691530115268	val ppl: 1926.7544327922822	best val: 131.40149497172126	time (s) spent in epoch: 40.820334911346436
epoch: 26	train ppl: 4.366274150883385	val ppl: 2152.4618600419003	best val: 131.40149497172126	time (s) spent in epoch: 40.793333292007446
epoch: 27	train ppl: 4.229318115323965	val ppl: 2295.5918763017216	best val: 131.40149497172126	time (s) spent in epoch: 40.78333258628845
epoch: 28	train ppl: 4.097786987478955	val ppl: 2483.0271293389865	best val: 131.40149497172126	time (s) spent in epoch: 40.764331579208374
epoch: 29	train ppl: 3.9781729321778556	val ppl: 2676.4177904018093	best val: 131.40149497172126	time (s) spent in epoch: 40.80533409118652
epoch: 30	train ppl: 3.87184965320395	val ppl: 2874.6182768216026	best val: 131.40149497172126	time (s) spent in epoch: 40.75933122634888
epoch: 31	train ppl: 3.772484612747124	val ppl: 3053.719825071032	best val: 131.40149497172126	time (s) spent in epoch: 40.997344970703125
epoch: 32	train ppl: 3.689809690874231	val ppl: 3291.4481595040697	best val: 131.40149497172126	time (s) spent in epoch: 40.80133366584778
epoch: 33	train ppl: 3.6002398445839017	val ppl: 3517.1905834495474	best val: 131.40149497172126	time (s) spent in epoch: 40.81033420562744
epoch: 34	train ppl: 3.516157456113761	val ppl: 3731.9164538312134	best val: 131.40149497172126	time (s) spent in epoch: 40.7333300113678
epoch: 35	train ppl: 3.4459441139639173	val ppl: 4069.179960560675	best val: 131.40149497172126	time (s) spent in epoch: 40.792333126068115
epoch: 36	train ppl: 3.3791295098554963	val ppl: 4289.961013743376	best val: 131.40149497172126	time (s) spent in epoch: 40.846336364746094
epoch: 37	train ppl: 3.320379413347678	val ppl: 4517.401194891634	best val: 131.40149497172126	time (s) spent in epoch: 40.859336853027344
epoch: 38	train ppl: 3.2556045849264934	val ppl: 4895.500882664807	best val: 131.40149497172126	time (s) spent in epoch: 40.81033444404602
epoch: 39	train ppl: 3.192558505049677	val ppl: 5008.342098794886	best val: 131.40149497172126	time (s) spent in epoch: 40.812334299087524
