epoch: 0	train ppl: 806579.8331829238	val ppl: 123545.01018986962	best val: 123545.01018986962	time (s) spent in epoch: 83.4583032131195
epoch: 1	train ppl: 5303.116876639757	val ppl: 5580.636010044473	best val: 5580.636010044473	time (s) spent in epoch: 88.58238005638123
epoch: 2	train ppl: 1093.1787116654464	val ppl: 913.769821372332	best val: 913.769821372332	time (s) spent in epoch: 88.45424914360046
epoch: 3	train ppl: 885.9975315419566	val ppl: 717.7973684706997	best val: 717.7973684706997	time (s) spent in epoch: 87.80967855453491
epoch: 4	train ppl: 725.4403437409217	val ppl: 468.3615700394251	best val: 468.3615700394251	time (s) spent in epoch: 88.74885559082031
epoch: 5	train ppl: 585.5740724359142	val ppl: 529.8771279726701	best val: 468.3615700394251	time (s) spent in epoch: 88.09688401222229
epoch: 6	train ppl: 495.3578226024333	val ppl: 433.9723882530106	best val: 433.9723882530106	time (s) spent in epoch: 89.54550242424011
epoch: 7	train ppl: 423.27337164572157	val ppl: 376.6283929588618	best val: 376.6283929588618	time (s) spent in epoch: 89.67753601074219
epoch: 8	train ppl: 360.528137747795	val ppl: 328.7007742663083	best val: 328.7007742663083	time (s) spent in epoch: 88.285560131073
epoch: 9	train ppl: 311.8754811266414	val ppl: 300.21739856067126	best val: 300.21739856067126	time (s) spent in epoch: 88.99869298934937
epoch: 10	train ppl: 276.9222312735412	val ppl: 258.4947935278775	best val: 258.4947935278775	time (s) spent in epoch: 89.71140098571777
epoch: 11	train ppl: 236.1466854532022	val ppl: 235.30828182832846	best val: 235.30828182832846	time (s) spent in epoch: 88.63534569740295
epoch: 12	train ppl: 209.45440665771258	val ppl: 221.4052034169212	best val: 221.4052034169212	time (s) spent in epoch: 89.01892518997192
epoch: 13	train ppl: 186.5670652914859	val ppl: 217.04162681412333	best val: 217.04162681412333	time (s) spent in epoch: 88.75493907928467
epoch: 14	train ppl: 167.05332155922528	val ppl: 238.70670939222592	best val: 217.04162681412333	time (s) spent in epoch: 88.71234846115112
epoch: 15	train ppl: 147.73741294380287	val ppl: 181.39433574060382	best val: 181.39433574060382	time (s) spent in epoch: 87.88688731193542
epoch: 16	train ppl: 133.03851362376088	val ppl: 181.1450000065954	best val: 181.1450000065954	time (s) spent in epoch: 87.96118903160095
epoch: 17	train ppl: 119.36085373462319	val ppl: 179.15864555494787	best val: 179.15864555494787	time (s) spent in epoch: 88.8480134010315
epoch: 18	train ppl: 108.555285451256	val ppl: 189.8563391357511	best val: 179.15864555494787	time (s) spent in epoch: 88.70055270195007
epoch: 19	train ppl: 98.13482426408281	val ppl: 201.94897738772306	best val: 179.15864555494787	time (s) spent in epoch: 88.16891741752625
epoch: 20	train ppl: 88.18569623056055	val ppl: 215.74378132042568	best val: 179.15864555494787	time (s) spent in epoch: 88.79487538337708
epoch: 21	train ppl: 78.78333411898859	val ppl: 167.32788512547666	best val: 167.32788512547666	time (s) spent in epoch: 88.38067436218262
epoch: 22	train ppl: 72.70394260859383	val ppl: 206.05302802625314	best val: 167.32788512547666	time (s) spent in epoch: 88.59864044189453
epoch: 23	train ppl: 64.33917474892267	val ppl: 192.16504920770706	best val: 167.32788512547666	time (s) spent in epoch: 88.6055076122284
epoch: 24	train ppl: 59.15843784753676	val ppl: 213.3123585576642	best val: 167.32788512547666	time (s) spent in epoch: 89.54881453514099
epoch: 25	train ppl: 53.963212399613155	val ppl: 201.61279057015508	best val: 167.32788512547666	time (s) spent in epoch: 89.175621509552
epoch: 26	train ppl: 48.82864620702536	val ppl: 230.1402839154497	best val: 167.32788512547666	time (s) spent in epoch: 89.4711172580719
epoch: 27	train ppl: 43.83541298487462	val ppl: 238.85942496932262	best val: 167.32788512547666	time (s) spent in epoch: 88.90082669258118
epoch: 28	train ppl: 39.554018982651975	val ppl: 220.97455002123107	best val: 167.32788512547666	time (s) spent in epoch: 88.86293196678162
epoch: 29	train ppl: 36.486728866479275	val ppl: 274.0418257224457	best val: 167.32788512547666	time (s) spent in epoch: 88.3704674243927
epoch: 30	train ppl: 33.64301852077313	val ppl: 307.56894297419166	best val: 167.32788512547666	time (s) spent in epoch: 87.72299432754517
epoch: 31	train ppl: 30.508161247040057	val ppl: 307.4004856043456	best val: 167.32788512547666	time (s) spent in epoch: 89.46346879005432
epoch: 32	train ppl: 28.39060053629444	val ppl: 300.7019566503436	best val: 167.32788512547666	time (s) spent in epoch: 89.7160210609436
epoch: 33	train ppl: 25.545336813316354	val ppl: 397.8398007914357	best val: 167.32788512547666	time (s) spent in epoch: 91.31006503105164
epoch: 34	train ppl: 23.71090310180767	val ppl: 369.4963771704512	best val: 167.32788512547666	time (s) spent in epoch: 89.10345411300659
epoch: 35	train ppl: 21.662311527614765	val ppl: 421.1991453928887	best val: 167.32788512547666	time (s) spent in epoch: 90.44488596916199
epoch: 36	train ppl: 20.22475756030804	val ppl: 450.5254080849304	best val: 167.32788512547666	time (s) spent in epoch: 89.06141829490662
epoch: 37	train ppl: 18.710704224017967	val ppl: 475.75436151403403	best val: 167.32788512547666	time (s) spent in epoch: 88.80729842185974
epoch: 38	train ppl: 17.28856055016407	val ppl: 543.0726897355065	best val: 167.32788512547666	time (s) spent in epoch: 89.35803079605103
epoch: 39	train ppl: 16.197544677814534	val ppl: 556.1040215644166	best val: 167.32788512547666	time (s) spent in epoch: 88.17771315574646
