epoch: 0	train ppl: 726.5227105853428	val ppl: 339.7009371001806	best val: 339.7009371001806	time (s) spent in epoch: 57.035990476608276
epoch: 1	train ppl: 282.72927933241544	val ppl: 235.74520858376695	best val: 235.74520858376695	time (s) spent in epoch: 57.46989154815674
epoch: 2	train ppl: 209.82744154253498	val ppl: 197.7746713322208	best val: 197.7746713322208	time (s) spent in epoch: 57.1289222240448
epoch: 3	train ppl: 173.25964247401197	val ppl: 176.67939478508617	best val: 176.67939478508617	time (s) spent in epoch: 56.946587324142456
epoch: 4	train ppl: 149.90735378184115	val ppl: 162.55063123759047	best val: 162.55063123759047	time (s) spent in epoch: 57.52206802368164
epoch: 5	train ppl: 132.7102051100583	val ppl: 152.24913704251182	best val: 152.24913704251182	time (s) spent in epoch: 57.36155962944031
epoch: 6	train ppl: 119.41256885240063	val ppl: 144.2942212955644	best val: 144.2942212955644	time (s) spent in epoch: 57.323650598526
epoch: 7	train ppl: 108.37738125566777	val ppl: 138.19358269994322	best val: 138.19358269994322	time (s) spent in epoch: 57.37703800201416
epoch: 8	train ppl: 98.94151512506266	val ppl: 133.76727872603388	best val: 133.76727872603388	time (s) spent in epoch: 57.31862545013428
epoch: 9	train ppl: 90.96444623437047	val ppl: 130.3148161072284	best val: 130.3148161072284	time (s) spent in epoch: 57.103129386901855
epoch: 10	train ppl: 84.05618375432293	val ppl: 128.1905119950346	best val: 128.1905119950346	time (s) spent in epoch: 57.20616102218628
epoch: 11	train ppl: 77.84725613924856	val ppl: 126.62794891133349	best val: 126.62794891133349	time (s) spent in epoch: 57.02459669113159
epoch: 12	train ppl: 72.37971372407969	val ppl: 125.81473472339508	best val: 125.81473472339508	time (s) spent in epoch: 56.91652584075928
epoch: 13	train ppl: 67.42271573380272	val ppl: 125.19582047093515	best val: 125.19582047093515	time (s) spent in epoch: 56.99061918258667
epoch: 14	train ppl: 62.95744077598113	val ppl: 124.90842876978398	best val: 124.90842876978398	time (s) spent in epoch: 57.02366018295288
epoch: 15	train ppl: 58.95276538551433	val ppl: 125.60105209006069	best val: 124.90842876978398	time (s) spent in epoch: 57.63049054145813
epoch: 16	train ppl: 55.3141855580727	val ppl: 125.75164900966436	best val: 124.90842876978398	time (s) spent in epoch: 57.42891597747803
epoch: 17	train ppl: 51.89619728145262	val ppl: 126.83400774709071	best val: 124.90842876978398	time (s) spent in epoch: 57.353559255599976
epoch: 18	train ppl: 48.79178655736979	val ppl: 128.09920318460723	best val: 124.90842876978398	time (s) spent in epoch: 57.4830276966095
epoch: 19	train ppl: 45.887141922100284	val ppl: 129.50864767786987	best val: 124.90842876978398	time (s) spent in epoch: 57.324549198150635
epoch: 20	train ppl: 43.25650856924934	val ppl: 131.55481232225617	best val: 124.90842876978398	time (s) spent in epoch: 57.265018701553345
epoch: 21	train ppl: 40.810897387451	val ppl: 133.3832023719985	best val: 124.90842876978398	time (s) spent in epoch: 57.604830265045166
epoch: 22	train ppl: 38.50027639138619	val ppl: 135.99601461783897	best val: 124.90842876978398	time (s) spent in epoch: 57.35380434989929
epoch: 23	train ppl: 36.37605295315555	val ppl: 138.70438520355574	best val: 124.90842876978398	time (s) spent in epoch: 57.22813057899475
epoch: 24	train ppl: 34.40974766823126	val ppl: 142.0756912683091	best val: 124.90842876978398	time (s) spent in epoch: 57.408652782440186
epoch: 25	train ppl: 32.543315986636934	val ppl: 145.2693354017888	best val: 124.90842876978398	time (s) spent in epoch: 57.155009508132935
epoch: 26	train ppl: 30.818290266433298	val ppl: 148.42505760234124	best val: 124.90842876978398	time (s) spent in epoch: 57.08168601989746
epoch: 27	train ppl: 29.2055145533227	val ppl: 152.88805263823684	best val: 124.90842876978398	time (s) spent in epoch: 56.9917414188385
epoch: 28	train ppl: 27.686949100782154	val ppl: 158.03278687628188	best val: 124.90842876978398	time (s) spent in epoch: 57.07571339607239
epoch: 29	train ppl: 26.234850718129962	val ppl: 161.86318818158654	best val: 124.90842876978398	time (s) spent in epoch: 57.08670735359192
epoch: 30	train ppl: 24.89347892269936	val ppl: 167.21208777387605	best val: 124.90842876978398	time (s) spent in epoch: 57.037760496139526
epoch: 31	train ppl: 23.611760568310878	val ppl: 171.26268540344356	best val: 124.90842876978398	time (s) spent in epoch: 57.16072654724121
epoch: 32	train ppl: 22.406597333413846	val ppl: 176.53582729626478	best val: 124.90842876978398	time (s) spent in epoch: 57.051735639572144
epoch: 33	train ppl: 21.297319648314584	val ppl: 180.60584183503087	best val: 124.90842876978398	time (s) spent in epoch: 57.057621479034424
epoch: 34	train ppl: 20.219478252084617	val ppl: 186.44261288867742	best val: 124.90842876978398	time (s) spent in epoch: 57.04263257980347
epoch: 35	train ppl: 19.267098997697428	val ppl: 193.2320419316494	best val: 124.90842876978398	time (s) spent in epoch: 57.14363718032837
epoch: 36	train ppl: 18.316706531845156	val ppl: 200.58342038485384	best val: 124.90842876978398	time (s) spent in epoch: 57.41597652435303
epoch: 37	train ppl: 17.437889565178082	val ppl: 207.27084468986334	best val: 124.90842876978398	time (s) spent in epoch: 57.005637884140015
epoch: 38	train ppl: 16.61867088796352	val ppl: 216.36714251497756	best val: 124.90842876978398	time (s) spent in epoch: 57.02962946891785
epoch: 39	train ppl: 15.813865315689894	val ppl: 223.85479372662937	best val: 124.90842876978398	time (s) spent in epoch: 57.044591426849365
