epoch: 0	train ppl: 360.2858249063114	val ppl: 204.35129566737783	best val: 204.35129566737783	time (s) spent in epoch: 82.44471549987793
epoch: 1	train ppl: 148.16583525215802	val ppl: 156.55481103997286	best val: 156.55481103997286	time (s) spent in epoch: 84.55183625221252
epoch: 2	train ppl: 102.38652111369308	val ppl: 141.39281380682422	best val: 141.39281380682422	time (s) spent in epoch: 84.67784333229065
epoch: 3	train ppl: 78.43376830462194	val ppl: 138.12388660579165	best val: 138.12388660579165	time (s) spent in epoch: 84.43182921409607
epoch: 4	train ppl: 62.780425809710984	val ppl: 139.58112296908897	best val: 138.12388660579165	time (s) spent in epoch: 84.52983498573303
epoch: 5	train ppl: 51.037067661420856	val ppl: 145.40603872620346	best val: 138.12388660579165	time (s) spent in epoch: 84.40782809257507
epoch: 6	train ppl: 41.781614315772565	val ppl: 156.58617232992395	best val: 138.12388660579165	time (s) spent in epoch: 84.63084053993225
epoch: 7	train ppl: 34.36147143612967	val ppl: 171.90039791216626	best val: 138.12388660579165	time (s) spent in epoch: 84.49583292007446
epoch: 8	train ppl: 28.24443413472653	val ppl: 191.134580227653	best val: 138.12388660579165	time (s) spent in epoch: 84.40182733535767
epoch: 9	train ppl: 23.32993968924502	val ppl: 213.03523749775604	best val: 138.12388660579165	time (s) spent in epoch: 84.39682745933533
epoch: 10	train ppl: 19.264293112792302	val ppl: 244.92336347484937	best val: 138.12388660579165	time (s) spent in epoch: 84.59283828735352
epoch: 11	train ppl: 16.00878746864577	val ppl: 281.2381585500217	best val: 138.12388660579165	time (s) spent in epoch: 84.37282586097717
epoch: 12	train ppl: 13.44730606978303	val ppl: 328.1892998043976	best val: 138.12388660579165	time (s) spent in epoch: 84.40382742881775
epoch: 13	train ppl: 11.445300474036916	val ppl: 386.06237788884323	best val: 138.12388660579165	time (s) spent in epoch: 84.31582260131836
epoch: 14	train ppl: 9.868098742962136	val ppl: 452.85410462101095	best val: 138.12388660579165	time (s) spent in epoch: 84.29182124137878
epoch: 15	train ppl: 8.64164886687923	val ppl: 525.7491258940282	best val: 138.12388660579165	time (s) spent in epoch: 84.37482619285583
epoch: 16	train ppl: 7.659421892331459	val ppl: 605.9001565049164	best val: 138.12388660579165	time (s) spent in epoch: 84.28082036972046
epoch: 17	train ppl: 6.850427685575411	val ppl: 713.2379526999439	best val: 138.12388660579165	time (s) spent in epoch: 84.40482759475708
epoch: 18	train ppl: 6.155532450779376	val ppl: 828.2749399752917	best val: 138.12388660579165	time (s) spent in epoch: 84.36582541465759
epoch: 19	train ppl: 5.635969118974374	val ppl: 982.9874275287797	best val: 138.12388660579165	time (s) spent in epoch: 84.31082248687744
epoch: 20	train ppl: 5.165532625694545	val ppl: 1159.1748577812116	best val: 138.12388660579165	time (s) spent in epoch: 84.36582541465759
epoch: 21	train ppl: 4.789861113315722	val ppl: 1359.483235549473	best val: 138.12388660579165	time (s) spent in epoch: 84.30982208251953
epoch: 22	train ppl: 4.475274963765969	val ppl: 1570.1451492243566	best val: 138.12388660579165	time (s) spent in epoch: 84.42182874679565
epoch: 23	train ppl: 4.2062457009317225	val ppl: 1834.4634019173234	best val: 138.12388660579165	time (s) spent in epoch: 84.41882824897766
epoch: 24	train ppl: 3.972147556132513	val ppl: 2140.3858065639765	best val: 138.12388660579165	time (s) spent in epoch: 84.43782925605774
epoch: 25	train ppl: 3.7719205034901018	val ppl: 2423.931394078758	best val: 138.12388660579165	time (s) spent in epoch: 84.29482126235962
epoch: 26	train ppl: 3.588597067990889	val ppl: 2747.667053913724	best val: 138.12388660579165	time (s) spent in epoch: 84.48683214187622
epoch: 27	train ppl: 3.4503971603110526	val ppl: 2927.7352950965587	best val: 138.12388660579165	time (s) spent in epoch: 84.26181983947754
epoch: 28	train ppl: 3.307398039905301	val ppl: 3201.9769540961847	best val: 138.12388660579165	time (s) spent in epoch: 84.35882496833801
epoch: 29	train ppl: 3.1887026890470795	val ppl: 3604.496321563488	best val: 138.12388660579165	time (s) spent in epoch: 84.35782504081726
epoch: 30	train ppl: 3.0862881493073724	val ppl: 3863.814790459183	best val: 138.12388660579165	time (s) spent in epoch: 84.4868323802948
epoch: 31	train ppl: 2.9802663510314145	val ppl: 4220.322390740565	best val: 138.12388660579165	time (s) spent in epoch: 84.33282351493835
epoch: 32	train ppl: 2.8943346241671293	val ppl: 4561.90684183535	best val: 138.12388660579165	time (s) spent in epoch: 84.4278290271759
epoch: 33	train ppl: 2.8121865089756475	val ppl: 4880.445303844764	best val: 138.12388660579165	time (s) spent in epoch: 84.4208288192749
epoch: 34	train ppl: 2.733735281717273	val ppl: 5377.404231874579	best val: 138.12388660579165	time (s) spent in epoch: 84.31382274627686
epoch: 35	train ppl: 2.6633396801977276	val ppl: 5977.690543287204	best val: 138.12388660579165	time (s) spent in epoch: 84.46083092689514
epoch: 36	train ppl: 2.601936812590908	val ppl: 6461.617999876091	best val: 138.12388660579165	time (s) spent in epoch: 84.29682159423828
epoch: 37	train ppl: 2.5402676329237575	val ppl: 6626.627304779298	best val: 138.12388660579165	time (s) spent in epoch: 84.37582588195801
epoch: 38	train ppl: 2.4873162276536234	val ppl: 7519.920538080424	best val: 138.12388660579165	time (s) spent in epoch: 84.46883153915405
epoch: 39	train ppl: 2.433038021656403	val ppl: 7573.240492132531	best val: 138.12388660579165	time (s) spent in epoch: 84.45083045959473
