epoch: 0	train ppl: 716.4093396694092	val ppl: 334.4521536491632	best val: 334.4521536491632	time (s) spent in epoch: 41.60742497444153
epoch: 1	train ppl: 274.82319932154024	val ppl: 232.45656915415452	best val: 232.45656915415452	time (s) spent in epoch: 41.189342975616455
epoch: 2	train ppl: 203.36712053339514	val ppl: 195.08220216791165	best val: 195.08220216791165	time (s) spent in epoch: 41.16034698486328
epoch: 3	train ppl: 167.2503283742664	val ppl: 174.40316885646388	best val: 174.40316885646388	time (s) spent in epoch: 41.12434530258179
epoch: 4	train ppl: 144.1242480164956	val ppl: 160.71823307710548	best val: 160.71823307710548	time (s) spent in epoch: 41.10526990890503
epoch: 5	train ppl: 127.21509645625709	val ppl: 151.30558051630632	best val: 151.30558051630632	time (s) spent in epoch: 41.191246509552
epoch: 6	train ppl: 113.86059504578802	val ppl: 144.0142210734821	best val: 144.0142210734821	time (s) spent in epoch: 41.161242723464966
epoch: 7	train ppl: 102.99791976190131	val ppl: 138.70753926228574	best val: 138.70753926228574	time (s) spent in epoch: 41.13625645637512
epoch: 8	train ppl: 93.74532204155851	val ppl: 134.97144556330136	best val: 134.97144556330136	time (s) spent in epoch: 41.150354623794556
epoch: 9	train ppl: 85.91903830948067	val ppl: 132.17246062544572	best val: 132.17246062544572	time (s) spent in epoch: 41.13020968437195
epoch: 10	train ppl: 79.12633778472141	val ppl: 130.31898336696347	best val: 130.31898336696347	time (s) spent in epoch: 41.13319396972656
epoch: 11	train ppl: 73.10143306607144	val ppl: 129.09711455373878	best val: 129.09711455373878	time (s) spent in epoch: 41.15618824958801
epoch: 12	train ppl: 67.65263779709848	val ppl: 128.74702711641228	best val: 128.74702711641228	time (s) spent in epoch: 41.07119274139404
epoch: 13	train ppl: 62.806508843419046	val ppl: 128.9848502745807	best val: 128.74702711641228	time (s) spent in epoch: 41.144267082214355
epoch: 14	train ppl: 58.480825306844636	val ppl: 129.93884022757052	best val: 128.74702711641228	time (s) spent in epoch: 41.2703218460083
epoch: 15	train ppl: 54.56934035625285	val ppl: 130.6628269819078	best val: 128.74702711641228	time (s) spent in epoch: 41.13031768798828
epoch: 16	train ppl: 50.91588794967563	val ppl: 132.6425571650878	best val: 128.74702711641228	time (s) spent in epoch: 41.14833092689514
epoch: 17	train ppl: 47.597416800521984	val ppl: 134.63004919011536	best val: 128.74702711641228	time (s) spent in epoch: 41.14431381225586
epoch: 18	train ppl: 44.52830266540928	val ppl: 137.34748627933263	best val: 128.74702711641228	time (s) spent in epoch: 41.167317152023315
epoch: 19	train ppl: 41.67963025059269	val ppl: 140.01725513908593	best val: 128.74702711641228	time (s) spent in epoch: 41.13932394981384
epoch: 20	train ppl: 39.03839166864067	val ppl: 142.87788675110284	best val: 128.74702711641228	time (s) spent in epoch: 41.09536266326904
epoch: 21	train ppl: 36.61252049239631	val ppl: 146.51583377029968	best val: 128.74702711641228	time (s) spent in epoch: 41.09933590888977
epoch: 22	train ppl: 34.44200748835735	val ppl: 150.56086207331737	best val: 128.74702711641228	time (s) spent in epoch: 41.11225748062134
epoch: 23	train ppl: 32.40841337388428	val ppl: 155.07794296062033	best val: 128.74702711641228	time (s) spent in epoch: 41.24126219749451
epoch: 24	train ppl: 30.58063285569358	val ppl: 159.53399621565043	best val: 128.74702711641228	time (s) spent in epoch: 41.119277000427246
epoch: 25	train ppl: 28.764417272093624	val ppl: 163.9729824004946	best val: 128.74702711641228	time (s) spent in epoch: 41.07525682449341
epoch: 26	train ppl: 27.194497781932522	val ppl: 169.44595511521555	best val: 128.74702711641228	time (s) spent in epoch: 41.11745023727417
epoch: 27	train ppl: 25.68926747444813	val ppl: 175.13110830547924	best val: 128.74702711641228	time (s) spent in epoch: 41.12419319152832
epoch: 28	train ppl: 24.28945903192224	val ppl: 179.91602604628267	best val: 128.74702711641228	time (s) spent in epoch: 41.05020189285278
epoch: 29	train ppl: 23.015915390530505	val ppl: 185.37627924297013	best val: 128.74702711641228	time (s) spent in epoch: 41.117209672927856
epoch: 30	train ppl: 21.745405327484693	val ppl: 192.19576537426613	best val: 128.74702711641228	time (s) spent in epoch: 41.02418327331543
epoch: 31	train ppl: 20.59336338117279	val ppl: 199.1246315689261	best val: 128.74702711641228	time (s) spent in epoch: 41.14523530006409
epoch: 32	train ppl: 19.446726442844955	val ppl: 205.98043130381862	best val: 128.74702711641228	time (s) spent in epoch: 41.10531973838806
epoch: 33	train ppl: 18.422148658223353	val ppl: 215.47567667262575	best val: 128.74702711641228	time (s) spent in epoch: 41.05132079124451
epoch: 34	train ppl: 17.450665130331135	val ppl: 222.90124679953632	best val: 128.74702711641228	time (s) spent in epoch: 41.13531255722046
epoch: 35	train ppl: 16.542079824526347	val ppl: 232.7428126472409	best val: 128.74702711641228	time (s) spent in epoch: 41.10733461380005
epoch: 36	train ppl: 15.71435445931017	val ppl: 240.72638013556588	best val: 128.74702711641228	time (s) spent in epoch: 41.09431791305542
epoch: 37	train ppl: 14.898372263307573	val ppl: 249.4662082662224	best val: 128.74702711641228	time (s) spent in epoch: 41.12432050704956
epoch: 38	train ppl: 14.176706210969426	val ppl: 262.01635867598145	best val: 128.74702711641228	time (s) spent in epoch: 41.100351333618164
epoch: 39	train ppl: 13.457323882391814	val ppl: 271.6536125548628	best val: 128.74702711641228	time (s) spent in epoch: 41.095349073410034
