epoch: 0	train ppl: 600.7994598184057	val ppl: 2351.764998287826	best val: 2351.764998287826	time (s) spent in epoch: 160.55385756492615
epoch: 1	train ppl: 319.24170634127074	val ppl: 227.3887871822084	best val: 227.3887871822084	time (s) spent in epoch: 161.1319239139557
epoch: 2	train ppl: 251.08836820863897	val ppl: 193.01749833634554	best val: 193.01749833634554	time (s) spent in epoch: 160.4160361289978
epoch: 3	train ppl: 206.24881859782255	val ppl: 169.8859864996644	best val: 169.8859864996644	time (s) spent in epoch: 160.6952679157257
epoch: 4	train ppl: 179.59033934102013	val ppl: 153.8329719280132	best val: 153.8329719280132	time (s) spent in epoch: 160.80044531822205
epoch: 5	train ppl: 159.6731679607651	val ppl: 141.95093824108403	best val: 141.95093824108403	time (s) spent in epoch: 161.57430696487427
epoch: 6	train ppl: 143.135599090655	val ppl: 132.58111566679045	best val: 132.58111566679045	time (s) spent in epoch: 164.96957659721375
epoch: 7	train ppl: 130.34121381168444	val ppl: 125.31255779801577	best val: 125.31255779801577	time (s) spent in epoch: 164.65016913414001
epoch: 8	train ppl: 119.71303293913054	val ppl: 120.2854201004066	best val: 120.2854201004066	time (s) spent in epoch: 162.53946495056152
epoch: 9	train ppl: 110.74267010998247	val ppl: 116.8538864920886	best val: 116.8538864920886	time (s) spent in epoch: 166.1700315475464
epoch: 10	train ppl: 102.9244994526946	val ppl: 114.17435883309129	best val: 114.17435883309129	time (s) spent in epoch: 162.60482144355774
epoch: 11	train ppl: 95.8198360200379	val ppl: 112.28051122269542	best val: 112.28051122269542	time (s) spent in epoch: 160.9841661453247
epoch: 12	train ppl: 89.518023260143	val ppl: 109.93755777958216	best val: 109.93755777958216	time (s) spent in epoch: 161.61625504493713
epoch: 13	train ppl: 83.89878312839453	val ppl: 109.31745956781668	best val: 109.31745956781668	time (s) spent in epoch: 160.28741240501404
epoch: 14	train ppl: 79.06424006389945	val ppl: 108.39401722303256	best val: 108.39401722303256	time (s) spent in epoch: 161.8514759540558
epoch: 15	train ppl: 74.27255112308949	val ppl: 108.44051503988177	best val: 108.39401722303256	time (s) spent in epoch: 160.17323231697083
epoch: 16	train ppl: 70.0195271611302	val ppl: 107.74814689548496	best val: 107.74814689548496	time (s) spent in epoch: 161.85058188438416
epoch: 17	train ppl: 66.11835557168055	val ppl: 108.01110333568198	best val: 107.74814689548496	time (s) spent in epoch: 160.53732347488403
epoch: 18	train ppl: 62.367687187904124	val ppl: 109.22586135982282	best val: 107.74814689548496	time (s) spent in epoch: 160.35208940505981
epoch: 19	train ppl: 59.014158902679554	val ppl: 109.99959288754292	best val: 107.74814689548496	time (s) spent in epoch: 161.32802057266235
epoch: 20	train ppl: 55.9712058074227	val ppl: 110.15334595956158	best val: 107.74814689548496	time (s) spent in epoch: 161.72646355628967
epoch: 21	train ppl: 53.01987001520377	val ppl: 112.0041637378739	best val: 107.74814689548496	time (s) spent in epoch: 164.49315285682678
epoch: 22	train ppl: 50.27026042648718	val ppl: 114.05138069959213	best val: 107.74814689548496	time (s) spent in epoch: 161.31008195877075
epoch: 23	train ppl: 47.8579512439124	val ppl: 115.8847771083709	best val: 107.74814689548496	time (s) spent in epoch: 161.13295364379883
epoch: 24	train ppl: 45.498620177378	val ppl: 117.98401300443474	best val: 107.74814689548496	time (s) spent in epoch: 162.1099796295166
epoch: 25	train ppl: 43.35560756252492	val ppl: 120.90178562175272	best val: 107.74814689548496	time (s) spent in epoch: 160.84594869613647
epoch: 26	train ppl: 41.44604312120001	val ppl: 124.5904981019066	best val: 107.74814689548496	time (s) spent in epoch: 160.66748094558716
epoch: 27	train ppl: 39.590746505687804	val ppl: 126.22472207592891	best val: 107.74814689548496	time (s) spent in epoch: 160.92507815361023
epoch: 28	train ppl: 37.90315679072885	val ppl: 128.84121258988048	best val: 107.74814689548496	time (s) spent in epoch: 161.3660340309143
epoch: 29	train ppl: 36.16301701483424	val ppl: 131.0039540514034	best val: 107.74814689548496	time (s) spent in epoch: 160.73814010620117
epoch: 30	train ppl: 34.70244990822472	val ppl: 133.9010470307993	best val: 107.74814689548496	time (s) spent in epoch: 160.836829662323
epoch: 31	train ppl: 33.33902206457767	val ppl: 136.5182435754968	best val: 107.74814689548496	time (s) spent in epoch: 160.64230132102966
epoch: 32	train ppl: 31.978824726465547	val ppl: 138.60355514399427	best val: 107.74814689548496	time (s) spent in epoch: 160.79590392112732
epoch: 33	train ppl: 30.729250734515485	val ppl: 140.74071467469534	best val: 107.74814689548496	time (s) spent in epoch: 169.686101436615
epoch: 34	train ppl: 29.631960735452697	val ppl: 144.70989369682863	best val: 107.74814689548496	time (s) spent in epoch: 170.21574997901917
epoch: 35	train ppl: 28.542304195980996	val ppl: 147.46619400551762	best val: 107.74814689548496	time (s) spent in epoch: 170.2917821407318
epoch: 36	train ppl: 27.623891508287933	val ppl: 148.87328632704418	best val: 107.74814689548496	time (s) spent in epoch: 169.0174343585968
epoch: 37	train ppl: 26.661760790912037	val ppl: 152.58103610709819	best val: 107.74814689548496	time (s) spent in epoch: 161.47309350967407
epoch: 38	train ppl: 25.785724794068127	val ppl: 154.40953154764193	best val: 107.74814689548496	time (s) spent in epoch: 164.1682689189911
epoch: 39	train ppl: 24.851812028020557	val ppl: 158.5557671174123	best val: 107.74814689548496	time (s) spent in epoch: 162.10366868972778
